country,category,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,beta_10,beta_11,beta_12
Burundi,"Housing, water, electricity, gas and other fuels",-0.008924406953197371,-2.58970811783249e-06,0.014790016602963483,0.0074185793179983184,-0.022037644864896434,0.03339865965150577,-0.029049691399819555,0.013022062359843961,-0.0202968324132176,0.010360151982396395,-0.016378495762954765,-0.007650483227451016
Burundi,Miscellaneous goods and services,-0.03677170797541819,0.0015433931304732924,-0.02001194743069222,-0.049854179322478015,-0.004674377754065935,0.014255004675318754,0.0036656284875583867,-0.002198416034594229,0.004697798117988553,0.01730202266822818,-0.006400114521343851,0.014981419452991498
Burundi,Recreation and culture,-0.004644622145376499,-0.04435818478480288,0.022576465961940663,-0.006602565972061325,0.059319859265856326,-0.057182508260547424,0.020501963643380458,0.011170266295549697,-0.023173140132483533,0.004303821761042034,-0.0042057833081536045,0.008306864856343332
Burundi,Restaurants and hotels,0.008241712774724706,-0.02852054086638719,-0.0088895947829749,-0.00905690468302471,0.027793348257837077,-0.03644020620540887,0.016845967820290037,0.008426247651787584,0.008762759283336747,0.0037591982662423707,-0.012741750876418292,0.00963157560301215
Burundi,Transport,0.04607886903287302,0.012198084920118233,0.01675287421023669,-0.00029377638860191187,0.015528697313720747,0.014386415100121189,0.016422649402509596,-0.006876513769660085,-0.006204112556283217,0.003608151966257271,-0.0035223681173324178,0.005533683501222326
Cabo Verde,"Alcoholic beverages, tobacco and narcotics",0.008297686421024813,-0.0013512941530959101,0.0046843162868379805,0.007949245187673284,-0.00043083278555731985,-0.0014413592785806316,-0.007199587636071331,0.007116720528119925,-0.0035957879462991766,-0.0001570640456028975,0.004619648002734883,-0.0060477803870410745
Cabo Verde,All Items,0.007824481474846793,0.007817944672806061,0.0027371577713783905,0.008138844177804099,0.0063009221197186036,0.008450461146102109,0.0004784576516517568,0.004903447140215197,0.008529467506737564,0.0035584076563638933,0.002299080553758065,0.006050739314895739
Cabo Verde,Clothing and footwear,-0.006655819817206958,0.004142437091358056,0.013203446501068652,-0.0005146573874308612,-0.0025407364082533123,0.00897747971817325,0.005392615871360502,0.003450467612807088,0.010815771591530049,0.009211343853733074,-0.0014829020068612233,-0.007783603217485729
Cabo Verde,Communication,-0.0022918665197390253,0.007231273950754709,-0.00558449271967325,0.012945130921627598,-0.008928755726805317,0.002473463039334034,-0.00020148097829491792,0.008874784005308214,-0.009460365516930903,0.001243211099379994,0.011091687475303287,0.005671666307738711
Cabo Verde,Education,-0.004116885483729897,0.0060167186550761365,-0.0004403538897975364,-0.0005615498033300549,0.00423426446041884,0.0024164582574498676,-0.004288629807628228,0.003314189682842002,-0.002228796077298814,-0.0005151865727866238,-0.008504836218746464,0.0023070275970926103
Cabo Verde,Food and non-alcoholic beverages,0.00963013403284166,0.0011898641175183632,0.0020370814773640073,0.007868747069711045,0.010024801186908478,0.008309638950495971,-0.005643181710017452,0.007987817268680178,0.006802514346423195,0.008112352296580692,0.005194550705398334,0.009508952679144138
Cabo Verde,"Furnishings, household equipment and routine household maintenance",-0.00531214813099851,0.00029611689077863,-0.0001228794656320184,-0.0028528198346448783,-0.008848211830790223,0.002517770477969833,-0.0009773950886834849,0.00171018632273009,0.002711908263880336,0.0008977531525814714,-0.009449514885706764,0.005407356897808668
